id_libros,isbn,titulo,autor,leidom,leidoa,portada,resumen,categoria,fechapublicacion,editorial,paginas,comentario
30,9802930013-x,El cielo es el limite,Wayne W. Dyer,FALSE,FALSE,img/Elcieloesellimite.jpg,,,,,,
31,9789588820021,Todo lo que puedas imaginar,Wayne W. Dyer,FALSE,FALSE,img/TodoImaginar.jpg,,,,,,
32,9789587492590,Zaffaroni. La cuestion criminal,Eugenio Raul,FALSE,FALSE,img/cuestion.jpg,,,,,,
33,9789587585278,El toque de midas,"Donald J. Trumpo, Rober T. Kiyosaki",FALSE,FALSE,img/el-toque-de-midas.jpg,,,,,,
34,9789681914400,Padre Rico Padre pobre,Robert J. Kiyosaki,FALSE,FALSE,img/padrericopadrepobre.jpg,,,,,,
35,,Tentenelaire,Mario Angel Quintero,FALSE,FALSE,img/Tentenelaire.jpg,,,,,,
36,9789589800003,El perdon,Juan Jaime Escobar Valencia,FALSE,FALSE,img/elperdon.webp,,,,,,
37,,"Con plantas, salud al alcance de tus manos",Maria Famay Velasquez,FALSE,FALSE,img/D_NQ_NP_2X_773909-MCO48799500370_012022-F.webp,,,,,,
38,9788477204053,El caballero de la armadura oxidada,Robert Fisher,FALSE,FALSE,img/9788477204053.webp,,,,,,
39,8486344786,"El tao de la salud, el sexo y la larga vida",Daniel Reid,FALSE,FALSE,img/2272305-L.jpg,,,,,,
40,9687277009,Un grito desesperado,Carlos Cauhtemoc Sanchez,FALSE,FALSE,img/7081243-L.jpg,,,,,,
41,9687277017,Juventud en extasis,Carlos Cauhtemoc Sanchez,FALSE,FALSE,img/6991770-L.jpg,,,,,,
42,9687277041,La ultima oportunidad,Carlos Cauhtemoc Sanchez,FALSE,FALSE,,,,,,,
43,8427022972,El manual de la bruja moderna,Montse Osuna,FALSE,FALSE,img/5263557-L.jpg,,,,,,
44,9788479532536,Los cuatro acuerdos,Miguel Ruiz,FALSE,FALSE,img/10723490-L.jpg,,,,,,
45,9781607380221,La vaca,Camilo Cruz,FALSE,FALSE,img/LaVaca.webp,,,,,,
46,9580426376,Despierta,Anthony de Melo,FALSE,FALSE,img/15139591-L.jpg,,,,,,
47,9788429306385,El canto del pajaro,Anthony de Melo,FALSE,FALSE,,,,,,,
48,9586690407,Cuerpo alma oracion,Anthony de Mello,FALSE,FALSE,,,,,,,
49,8429309233,Una llamada al amor,Anthony de Mello,FALSE,FALSE,img/8059183-L.jpg,,,,,,
50,9789588848082,Cuentos del cartujo,Luis Felipe Gomez Isaza,FALSE,FALSE,img/8087219-L.jpg,,,,,,
51,9789700774896,Frankenstein,Mary W. Shelley,FALSE,FALSE,,,,,,,
52,8433913921,La cocina de la escritura,Daniel Cassani,FALSE,FALSE,img/6307253-L.jpg,,,,,,
53,958933036,La picaresca juridica universal,Gustavo Ibañez,FALSE,FALSE,,,,,,,
54,9580600074,Doce cuentos peregrinos,Gabriel Garcia Marquez,FALSE,FALSE,img/8065416-L.jpg,,,,,,
55,9789584503459,Del amor y otros demonios,Gabriel Garcia Marquez,FALSE,FALSE,,,,,,,
56,9788496988957,Confusion de confusiones,Jose de la Vega,FALSE,FALSE,,,,,,,
57,9580424942,La caricia esencial,Roberto Shinyashila,FALSE,FALSE,img/6258978-L.jpg,,,,,,
58,9607955390,The magic ring,"E. Moutsou, S. Parker",FALSE,FALSE,img/K3000071407.jpg,,,,,,
59,,Versos memorables,Rogelio Echavarria,FALSE,FALSE,,,,,,,
60,,Fisica usual,G. M. Bruño,FALSE,FALSE,,,,,,,
61,97895845610457,Cuestion de dignidad,Walter Riso,FALSE,FALSE,,,,,,,
62,9580439281,De regreso a casa,Walter Riso,FALSE,FALSE,img/7962109-L.jpg,,,,,,
63,,Quien es San Miguel Arcangel,Gloria Cux,FALSE,FALSE,,,,,,,
64,9788467228274,El secreto,Rhonda Byrne,FALSE,FALSE,,,,,,,
65,,Fabulas Colombianas,,FALSE,FALSE,img/FabulasColombianas.webp,,,,,,
66,,Ortografia Rimada de la lengua española,A. Hurtado Soler,FALSE,FALSE,img/OrtografiaRimada.jpg,,,,,,
67,9789584274069,Tiende tu cama,William H. McRaven,FALSE,FALSE,img/tiendetucama.webp,,,,,,
68,84790126411,Simplifica tu vida,Elaine St. James,FALSE,FALSE,img/9788479018818.webp,,,,,,
69,9501514690,Las mujeres que aman demasiado,Robin Norwood,FALSE,FALSE,,,,,,,
70,,Un mundo feliz,Aldous Huxley,FALSE,FALSE,img/unmundofeliz.webp,,,,,,
71,,Breve historia de este puto mundo,Daniel Samper Pizano,FALSE,FALSE,,,,,,,
72,,Me lo dijo mi mama,Hernando Montoya Montoya,FALSE,FALSE,,,,,,,
73,9788435010856,San Franciso de Asis,Hermann Hesse,FALSE,FALSE,img/10254497-L.jpg,,,,,,
74,9789872704797,Viaje a Oriente,Hermann Hesse,FALSE,FALSE,img/viajeaoriente.webp,,,,,,
75,9789876283014,Narciso y Goldmundo,Hermann Hesse,FALSE,FALSE,img/209352-800-1133.webp,resumen,catwgoria,fecha publicacion,editorial,paginas,comentario
76,,Manual de primeros auxilios,Cafe Roja Colombia,False,False,,,,,,0,
77,97898422135,Años en silencio,Oscar Tulio Lizcano,False,False,,,,,,0,
78,97895830009280,El profeta el loco y paginas escogidas,Jalil Gibran,False,False,img/elprofetaelloco.webp,,,,,0,
79,9684035454,Por favor sea feliz,Andrew Mattews,False,False,img/2295412-L.jpg,,,,,0,
80,8440653042,Las voces del desierto,Marlo Morgan,False,False,img/3327407-L.jpg,,,,,0,
81,978958553185,Pide y se te dara,Esther y Jerry Hioks,False,False,img/pideysEtedara.webp,,,,,0,
82,978110582408,Importaculisimo practico,Juan David Arbelaez,False,False,img/6260d6d0f022710bdbf6ca3bdf8aa0ed.webp,,,,,0,
83,9788466236645,Don quijote de la mancha,Miquel Cervantes Saavedra,False,False,img/12324991-L.jpg,,,,,0,
84,958704049x,El hombre duplicado,Jose Saramago,False,False,img/el_hombre_duplicado.jpg,,,,,0,
85,9789587583656,Claraboya,Jose Saramago,False,False,img/8078111-L.jpg,,,,,0,
86,9588061601,La caverna,Jose Saramago,False,False,img/LaCavernajpg.jpg,,,,,0,
87,9788466312301,Ensayo sobre la ceguera,Jose Saramago,False,False,img/2270923-L.jpg,,,,,0,
88,9789589016060,La balsa de piedra,Jose Saramago,False,False,img/LabalsadePiedra.webp,,,,,0,
89,9788496940598,La formula de Dios,Jose Rodriguez Dos Santos,False,False,img/8982713485213.jpg,,,,,0,
90,9789585132086,Una tierra prometida,Barack Obama,False,False,img/9788499929743.webp,,,,,0,
91,9788478089079,El don de tu alma,Robert Schwartz,False,False,img/12993534-L.jpg,,,,,0,
92,9786287539969,Roba como un artista,Austin Klflon,False,False,img/Robacomounartista.jpg,,,,,0,
93,9788478086344,Liberate de la codependencia,Melody BeaFlie,False,False,img/17040703485206.jpg,,,,,0,
94,9786287640214,Ser feliz es facil,Borja Vilaseca,False,False,img/OIP.webp,,,,,0,
95,9580472793,El hombre que amaba las gaviotas y otros relatos,Osho,False,False,img/2292740-L.jpg,,,,,0,
96,9687302127,Soy la puerta abierta al infinito,Osho,False,False,img/4223033485637.jpg,,,,,0,
97,8425418836,Meditacion ocho puntos para transformar la vida,kmath Easwara,False,False,img/23995663485187.jpg,,,,,0,
98,8434416679,El valor de educar,Fernando Savater,False,False,img/products-900.jpg,,,,,0,
99,8441416028,Desarrolla una mente prodigiosa,Ramon Campayo,,,img/7398020-L.jpg,,,,,,
100,9586551903,Viaje a Pie,Fernando Gonzales,,,img/8776709-L.jpg,,,,,,
101,9789587087970,De regreso a la fuente,Lila Nanda Casta,,,,,,,,,
102,9789586392518,El monje que vendio su ferrari,Robins Sharma,,,img/6215393485601.jpg,,,,,,
103,9789585464421,El club de las 5 de la mañana,Robins Sharma,,,img/25020213485600.jpg,,,,,,
104,9789585579996,La muerte feliz,Albert Camus,,,,,,,,,
105,9769584237651,El buen amor de la pareja,Joan Garriga,,,,,,,,,
106,9788412156355,Mindfulnnes para la vida,Alica Benitez y Denko Mesa,,,img/13614707-L.jpg,,,,,,
107,9789584283443,El cerebro de tu bebe,John J. Medina,,,,,,,,,
108,9786287649521,El dolor que se hereda la felicidad que se contagia,Ascen Castillo,,,,,,,,,
109,9789585446939,Jose Mujia en sus palabras,Dario Klein Enrique J. Moras,,,,,,,,,
110,9786280110190,Morir antes de morir,Lila Nanda Casta,,,,,,,,,
111,9788496111776,Pon a trabajar el poder de tu mente,Joseph Murphy,,,img/12363896-L.jpg,,,,,,
112,9789584282989,Me llevaras en ti,Ivan Obando,,,,,,,,,
113,9788484456810,Este dolor no es mio,Mark Wolynn,,,img/12993710-L.jpg,,,,,,
114,8401009049,Aprender a pensar,Eduard DeBono,,,img/4584033485179.jpg,,,,,,
115,9789588845128,El perro de arena,Alejandra Estrada,,,img/2655703485602.jpg,,,,,,
116,9580460361,El poder del ahora,Eckhart Tolle,,,img/4916796-L.jpg,,,,,,
117,9788492892570,Coaching para conseguir tu libertad financiera,Juan Antonio Guerrero,,,img/12332408-L.jpg,,,,,,
118,9789584277954,Habitos atomicos,James Clear,,,,,,,,,
119,,El lobo estepario,Hermann Hesse,,,img/81eT95iZbyL._SL1500_.jpg,,,,,,
120,,Siddharta,Hermann Hesse,,,img/78d42a7074fc717c765ad3f0b80d5f10.webp,,,,,,
121,9586382443,Quetzal,Chamalu,,,img/opac-image.png,,,,,,
122,9589156010,Destellos de luz,Luis y Enrique Yepes,,,,,,,,,
123,,Juan Salvador Gaviota,Richard Back ,,,,,,,,,
124,9586695166,El balbuceo de la biblia,Rosana Palga,,,,,,,,,
125,,Historia de la cultura,Nicolas Gaviria,,,,,,,,,
126,95008113092,"Los Hombres son de marte, las mujeres son de venus",John Gray,,,,,,,,,
127,9580476896,No dejes para mañana  ... lo que puedes hacer hoy,Rita Emmett,,,img/3350808-L.jpg,,,,,,
128,,Humano demasiado humano,Federico Nietzsche,,,,,,,,,
129,9789586393355,Controle su destino,Antony Robbins,,,,,,,,,
130,,Anatomia fisiologia e higiene,T.T.D.,,,img/20260504_114732.jpg,,,,,,
131,9788498720778,Muejeres que corren con los lobos,Clarissa Pinkda Estes,,,img/8157214-L.jpg,,,,,,
132,9789588773575,El segundo sexo,Simone de Beavoir,,,img/8542729-L.jpg,,,,,,
133,,Huellas 50 años,EPM,,,,,,,,,
134,,Normas gramaticales de la lengua española,Editorial autonoma,,,,,,,,,
135,,Bob Dylan a las puertas del cielo,Jacobo Celmik,,,,,,,,,
136,9789802936472,Dalai Lama,Rajn Mehota,,,img/9049103485678.jpg,,,,,,
137,9789588940519,La clave secreta del universo,Lucy y Estephen,,,img/3609613485602.jpg,,,,,,
138,9681308522,El erial,Hawking,,,,,,,,,
139,58250502x,The Planton of the opera,Gaston Leroux,,,img/10383203482395.jpg,,,,,,
140,9585704973,Prosistas humanistas colombianos,Hernando Garcia Mejia,,,,,,,,,
141,9586928772,Catecismo de la iglesia catolica,Conferencia episcopal panamericana,,,img/11578003485601.jpg,,,,,,
142,9588227054,La culpa es de la vaca,Jaime Lopera Gutierrez - Martha Ines Bernal Trujillo,,,img/3351611-L.jpg,,,,,,
143,9788492414017,La senda del lider,"Dalai Lama, Laurens Mudla Muyyzenberg",,,img/19888483485211.jpg,,,,,,
144,9684290497,Poemas de otros,Mario Benedetti,,,,,,,,,
145,,Mundos extremos,Amalia Martinez Muñoz,,,,,,,,,
146,9788434836358,Albert Einstein,Fiona Macdonald,,,img/9788434836358-us.jpg,,,,,,
147,,Louis Paster,Beverly Birch,,,,,,,,,
148,,Arcadia. Preguntas y respuestas,EPM,,,,,,,,,
149,9586481530,Frutoterapia,Albert Ronald Morales,,,,,,,,,
150,9789585986268,La maestria del amor,Miguel Ruiz,,,,,,,,,
151,,Ortografia,Nicolas Gaviria,,,,,,,,,
152,9788479539849,Mas alla del miedo,Mary Miguel Ruiz,,,img/13872183-L.jpg,,,,,,
153,9789585425033,Por Otro camino,Carlos Raul Yepes,,,img/8785013-L.jpg,,,,,,
154,9780072107717,El pequeño larousse ilustrado,Larousse,,,,,,,,,
155,9786287732414,Etica Para amador,Fernando Savater,,,,,,,,,
156,8428811512,El regreso del hijo prodigo,Henri J. M. Houwen,False,False,img/Elhijoprodigo.jpg,,,,Colección sauce,155,
